Name,Date,Time,Type,Hours,Late,Emotion
IMG20260607211840,14-07-2026,08:13:54,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:13:55,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:13:55,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:13:55,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:13:55,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:13:55,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:13:55,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:13:55,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:13:56,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:13:56,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:13:56,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:13:56,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:13:56,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:13:57,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:13:57,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:13:57,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:13:57,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:13:58,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:13:58,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:13:58,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:13:58,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:13:59,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:13:59,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:13:59,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:13:59,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:13:59,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:13:59,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:13:59,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:14:00,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:14:00,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:14:00,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:14:00,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:14:00,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:14:00,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:14:00,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:14:00,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:14:01,IN,,False,Happy
IMG20260607211840,14-07-2026,08:14:01,OUT,0h 00m,False,Happy
IMG20260607211840,14-07-2026,08:14:01,IN,,False,Happy
IMG20260607211840,14-07-2026,08:14:01,OUT,0h 00m,False,Happy
IMG20260607211840,14-07-2026,08:14:01,IN,,False,Happy
IMG20260607211840,14-07-2026,08:14:04,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:14:04,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:14:04,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:14:04,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:14:04,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:14:05,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:14:05,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:14:05,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:14:07,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:14:08,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:14:08,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:14:08,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:14:19,OUT,0h 00m,False,Neutral
